creator,has_child,node_create_time,node_token,node_type,obj_create_time,obj_edit_time,obj_token,obj_type,origin_node_token,origin_space_id,owner,parent_node_token,space_id,title,is_downloaded
ou_c6c7700b20f7c84a7505420680f4f094,True,1716370663,AYnmwB4J6ikDpTksrppcK59lnGz,origin,1716370663,1716371457,RuNcdNu1ZoudoAxn8FQcv6bln3d,docx,AYnmwB4J6ikDpTksrppcK59lnGz,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,nan,7312380977362255874,Domain Knowledge + Workflow,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1702546369,RRHVw6pH3ituKfkT1XTcqPdSnEf,origin,1702546369,1716371414,GnR7dDQhyosm12xqEEgcytmanvc,docx,RRHVw6pH3ituKfkT1XTcqPdSnEf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,nan,7312380977362255874,知识寻源+获取,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1706077925,Ezn8w7wZ2idu0YkErNCcX6I3ntf,origin,1706077925,1706077933,RlASdBHBhoEca5xGHz5cDjQqntC,docx,Ezn8w7wZ2idu0YkErNCcX6I3ntf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,nan,7312380977362255874,临时、过期,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1716370724,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,origin,1716370724,1716370729,BeMIdUN7joY5Pjxa3DvckTXlnhe,docx,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,AYnmwB4J6ikDpTksrppcK59lnGz,7312380977362255874,会议记录,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1716371772,BWaqwyJi0ibliokzEXJcA23Yn9e,origin,1716371772,1719974433,HssCd2SQmoit5HxNj0bcfokUn2H,docx,BWaqwyJi0ibliokzEXJcA23Yn9e,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,AYnmwB4J6ikDpTksrppcK59lnGz,7312380977362255874,MVP1.0开发,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720428298,SskmwKathieOH1kj8rrcbtPGnre,origin,1720428298,1720592213,ALNndXR8BombhAxC3BIc47e0nBe,docx,SskmwKathieOH1kj8rrcbtPGnre,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,AYnmwB4J6ikDpTksrppcK59lnGz,7312380977362255874,知识工厂任务规划,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1716370804,EOEzweS7aiLfYbkNMOyc7iqIntf,origin,1716370804,1716433977,PIWUdV0cooU7kTxoOT8cxxdin0Z,docx,EOEzweS7aiLfYbkNMOyc7iqIntf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,05-22 信息同步 重新规划,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1716349951,TizBwxIUei8oO0kz48acd2brnHb,origin,1716349951,1716370790,OKZndDGw7oWYmVxWadOc7aFWnDg,docx,TizBwxIUei8oO0kz48acd2brnHb,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,05-22知识中心MVP功能细节,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1715908460,NBJvweJ3MiQZzMkLiDtcKh9unRd,origin,1715908460,1716370784,II8JdhYvCom7dQxMcKdcMIF1n3g,docx,NBJvweJ3MiQZzMkLiDtcKh9unRd,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,05-21知识中心MVP需求,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1715845206,J26wwlLP1iRF45klIffcljmjnhb,origin,1715845206,1716370770,U6etdvehUo7QVUx8XSnc7Xafn9b,docx,J26wwlLP1iRF45klIffcljmjnhb,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,05-16知识建设和管理方案,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1719884047,Y1uswV1aDiqrU6kHG6hcPBvCn0g,origin,1719884047,1720107836,R780d6fJ5oeUpuxfv9lcIbISnbf,docx,Y1uswV1aDiqrU6kHG6hcPBvCn0g,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,07-02 知识整体规划,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1719909171,SWZuwjHoSiJZXXkSPkAcV8ePnzf,origin,1719909171,1723101727,UJBldb4oqolKinx8o0KcEREknyb,docx,SWZuwjHoSiJZXXkSPkAcV8ePnzf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,FY 2024 Q2 Review - Knowledge Factory,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720229163,Iq45wFc7oi5HoqkxyfLc2h4insA,origin,1720229163,1720499713,XqhYdR1zzoFtPCxIBizcgRiGnPd,docx,Iq45wFc7oi5HoqkxyfLc2h4insA,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,Knowledge Factory & Other Team,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720513562,YijwwVN2uinuBCkwNxDcvHU1n9c,origin,1720513562,1720513763,Hywid7Sgiox1yAxGmBnc8LxLnrc,docx,YijwwVN2uinuBCkwNxDcvHU1n9c,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,龙哥协助清单,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1721374074,U1QTwa0rQig6Xck64qTcC9D1nff,origin,1721374074,1721379182,Va1ddvNANokon0xQHHRcw12MnVd,docx,U1QTwa0rQig6Xck64qTcC9D1nff,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,XZ78wuy6Ei8MmSkOrF0cvkXvnLf,7312380977362255874,DC场景与方案第一轮收集结果review 2024年7月19日,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720003572,BluLwQEVSicp0dkiug3cmvAbnbh,origin,1720003572,1720403075,AeqddyOBsoBjvcxRBokc72Fznkh,docx,BluLwQEVSicp0dkiug3cmvAbnbh,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,SWZuwjHoSiJZXXkSPkAcV8ePnzf,7312380977362255874,发言备忘,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1715653591,HcuxwTHZrizF21kSPgXcRfurnAh,origin,1715653591,1716436463,SaF9b8HFMaslwXseA4ZcxP7Ynjb,bitable,HcuxwTHZrizF21kSPgXcRfurnAh,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,BWaqwyJi0ibliokzEXJcA23Yn9e,7312380977362255874,知识需求汇总,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1716371809,PDDkwHRraijTv2kmApccJ25bnUf,origin,1716371809,1716456008,BKkdb2RhJaYwlxs6hsbcfAQAndh,bitable,PDDkwHRraijTv2kmApccJ25bnUf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,BWaqwyJi0ibliokzEXJcA23Yn9e,7312380977362255874,Usecases,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720505791,DqDiwClVlijKCokKscOc938Cnkc,origin,1720505791,1722476126,IYBTbfSYcaewNQsiHU0cZkEcnWb,bitable,DqDiwClVlijKCokKscOc938Cnkc,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,SskmwKathieOH1kj8rrcbtPGnre,7312380977362255874,BSC Review I2 Knowledge Factory Q3,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720235850,BkDAwrNZliuvSvkTotFcV2A1nTh,origin,1720235850,1720583661,EMU6dRqVToucGrxGDJuchEtFnGd,docx,BkDAwrNZliuvSvkTotFcV2A1nTh,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,SskmwKathieOH1kj8rrcbtPGnre,7312380977362255874,Q3知识细分项目,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720583620,TpH2wpLGkiKEmVkV09NcUOAKnOb,origin,1720583620,1720773108,FBIbdkqalozvc6xXtBbcyublnjn,docx,TpH2wpLGkiKEmVkV09NcUOAKnOb,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,BkDAwrNZliuvSvkTotFcV2A1nTh,7312380977362255874,人脑知识download,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1722229000,GjrnwOt10iED7Vk3Rk6cAkc0nTe,origin,1722229000,1722844663,NmfcdIBRsovTlRxfglGcKo8gnfb,docx,GjrnwOt10iED7Vk3Rk6cAkc0nTe,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,BkDAwrNZliuvSvkTotFcV2A1nTh,7312380977362255874,内部知识收集计划,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720679669,N7C9wo94Eia4q1kuxE4c09dKnOg,origin,1720679669,1721119327,XUUvdGvJhoJlGux9f2XcfxQ2n4d,docx,N7C9wo94Eia4q1kuxE4c09dKnOg,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,TpH2wpLGkiKEmVkV09NcUOAKnOb,7312380977362255874,DC方案 内部集中收集,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720758043,RkP7wMXSZi869pk6EnScA4wJnac,origin,1720758043,1720767108,Mwu9dtSNroJ7f5x2qrFcOEvrnAn,docx,RkP7wMXSZi869pk6EnScA4wJnac,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,TpH2wpLGkiKEmVkV09NcUOAKnOb,7312380977362255874,改进意见收集,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1721113700,GDjywKDptiufaOkr86pcGzWTnlg,origin,1721113700,1721123580,XodudNZ1noyPvdxQJzucCibAnAg,docx,GDjywKDptiufaOkr86pcGzWTnlg,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,TpH2wpLGkiKEmVkV09NcUOAKnOb,7312380977362255874,需求整理：通过EVE进行知识收集（持续补充）,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1720686540,FZmUwLx7IiVGivkhnrvcEotEnOe,origin,1720686540,1720776362,ZP1id1GOHoJPYSxyG1zcvHRqnph,docx,FZmUwLx7IiVGivkhnrvcEotEnOe,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,N7C9wo94Eia4q1kuxE4c09dKnOg,7312380977362255874,DC方案问题大纲,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720749256,SBA7wLmghiv3kIkNfkocTYB0nIe,origin,1720749256,1721988132,D9C0brR1EaL1wNs9Rdvc8moAnAg,bitable,SBA7wLmghiv3kIkNfkocTYB0nIe,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,N7C9wo94Eia4q1kuxE4c09dKnOg,7312380977362255874,场景汇总,1.0
ou_c6c7700b20f7c84a7505420680f4f094,False,1721099629,BsXJwDRJLiDPxzkZxVhcEIptnlf,origin,1721099629,1721100176,O1ixbOcU5auaQls94FlcS3YUnMb,bitable,BsXJwDRJLiDPxzkZxVhcEIptnlf,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,N7C9wo94Eia4q1kuxE4c09dKnOg,7312380977362255874,Application Scenarios & Solutions Collection,1.0
ou_c6c7700b20f7c84a7505420680f4f094,True,1720777065,SDK7w9Y2viDs4zkI2lZch8UBn6g,origin,1720777065,1720791467,MZpJdkIkvoeD4AxBONhcECmGnNf,docx,SDK7w9Y2viDs4zkI2lZch8UBn6g,7312380977362255874,ou_c6c7700b20f7c84a7505420680f4f094,N7C9wo94Eia4q1kuxE4c09dKnOg,7312380977362255874,预演结论,1.0
